Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13",0402,3,10u,
"C10, C2, C20, C22, C35, C4, C5, C8, C9",0402,9,100n,
"C12, C17, C19, C21, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C36, C37, C38, C39, C44",0402,22,1u,
"C14, C16",0402,2,2n2,
"C15, C18",0402,2,DNP,
"C40, C41, C42, C43, C45, C46, C47",0603,7,10u,
"C6, C7",0402,2,2u2,
D1,0603,1,GREEN,
D2,LED_5mm_Side_Mount,1,SFH4346,
"D3, D4",0402,2,RED,
D5,0402,1,GREEN,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_Pad_Via,4,MountingHole_Pad,
J1,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,STEMMA_QT,
J2,SMD_PJ-399E-6A,1,~,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BATTERY_CONN,
J5,PinHeader_1x05_P1.27mm_Vertical,1,Qtouch,
J6,MOLEX_503398-1892,1,Micro_SD_Card_Det2,
"Q1, Q2, Q3",SOT-23,3,DMG2301L,
"R1, R11, R14, R17, R18, R2, R21, R22, R23, R25, R26, R27, R28, R29, R33, R34, R37, R8",0402,18,10k,
R10,0402,1,330R,
"R12, R15, R31, R32, R9",0402,5,1k,
R13,0402,1,200R,
"R16, R7",0402,2,1mR,
"R19, R20",0402,2,5k1,
"R24, R30",0402,2,1k1,
"R3, R4",0402,2,470R,
"R35, R36, R5, R6",0402,4,4k7,
SW1,SW_SPST_EVQP7C,1,BOOT,
SW2,SW_SPST_EVQP7C,1,RST,
"SW3, SW6",SW_SPDT_CK-JS102011SAQN,2,SW_USB,
SW4,SW_SPST_EVQP7C,1,VOL_UP,
SW5,SW_SPST_EVQP7C,1,VOL_DOWN,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102,
U10,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U11,VQFN-20-1EP_3x3mm_P0.45mm_EP1.55x1.55mm,1,~,
"U12, U9",SOT-23-5,2,AP2112K-3.3,
U2,ESP32-S3-WROOM-1-N8R8,1,ESP32-S3-WROOM-1-N4R4,
U3,UQFN-10_1.3x1.8mm_P0.4mm,1,USB3740B-AI2,
U4,MPU-6500,1,MPU-6500,
U5,TPA6130A2RTJR,1,TPA6130A2RTJR,TPA6130A2RTJR
U6,USB2244-AEZG-06,1,USB2244-AEZG-06,
U7,IRM-V838M3-C-TR1,1,~,
U8,1.8inch_TFT_128x160,1,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
